GeneID	GSM8035914	GSM8035915	GSM8035916	GSM8035917	GSM8035918	GSM8035919	GSM8035920	GSM8035921	GSM8035922	GSM8035923	GSM8035924	GSM8035925	GSM8035926	GSM8035927	GSM8035928	GSM8035929	GSM8035930
100287102	11	3	5	1	2	3	2	6	4	0	0	1	1	1	1	0	0
653635	175	151	219	72	99	149	232	333	403	4	4	44	15	27	20	4	12
102466751	3	2	4	0	0	1	0	1	5	0	0	1	1	0	0	0	0
107985730	4	4	5	4	1	1	1	14	9	0	0	0	0	0	0	1	1
100302278	1	1	3	1	0	1	0	3	2	0	0	0	0	0	0	0	0
645520	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
79501	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
100996442	35	31	41	14	15	21	26	66	107	2	1	8	2	2	2	0	2
729737	74	47	90	26	45	91	87	159	157	3	8	50	16	17	8	4	5
102725121	10	2	6	1	5	4	4	6	3	0	0	1	1	0	0	0	0
102723897	218	202	246	109	119	185	264	411	450	5	7	50	18	31	21	9	19
102465909	2	3	4	0	0	2	0	1	0	0	0	1	0	0	0	0	0
107985721	11	10	9	4	0	2	1	26	17	0	0	0	0	0	0	0	1
112268260	13	14	36	11	14	14	39	34	40	0	0	1	0	1	1	0	2
729759	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
100132287	64	38	83	31	36	67	54	127	113	3	2	25	8	7	3	1	2
105378947	1	3	3	1	2	2	3	7	6	0	0	0	0	0	0	0	0
101928626	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
113219467	2017	1934	2682	2934	2627	3370	4932	2637	4024	16	58	293	159	659	405	149	571
81399	2	2	7	1	1	1	3	7	4	0	0	1	0	0	0	0	0
100133331	56	31	65	25	30	52	56	113	108	2	2	15	5	6	2	1	1
107984841	28	14	19	5	9	13	11	68	50	0	0	5	5	0	0	1	0
107984847	34	15	38	10	14	24	25	88	45	1	0	6	3	0	0	0	0
107984849	2	6	4	1	1	2	2	8	5	0	0	0	0	0	0	0	0
100288069	46	19	40	9	14	17	43	88	84	1	1	5	5	7	4	2	1
